Comment_id,author,Reply_for,Type,video_id,total_reply,like_count,published_at,textdisplay,updatedat
UgzEBrJCWpXrIeD1KAN4AaABAg,@lapro3444,,1,_iZWKaeNSxg,0,0,2020-03-30T06:53:32Z,📶..<br><br><br><br><br><br><br><br>🚩,2020-03-30T06:53:32Z
UgzT0AkD9JPMLz92l1d4AaABAg,@lapro3444,,1,fgzcTzjJf-E,0,0,2020-03-30T06:52:37Z,...👁️‍🗨️<br><br><br><br><br><br><br><br>💫,2020-03-30T06:52:37Z
UgzoC8tnkI2VpEl7RRN4AaABAg,@marcosevillano4311,,1,fgzcTzjJf-E,1,1,2019-11-25T19:31:08Z,"I cannot find the function getSymbols() , what is the problem?",2019-11-25T19:31:08Z
UgzoC8tnkI2VpEl7RRN4AaABAg.91li_ov_Ko791rARdCcr3N,@vincentkarlberghauge5191,UgzoC8tnkI2VpEl7RRN4AaABAg,2,fgzcTzjJf-E,0,0,2019-11-27T22:19:29Z,"Prior to using the getSymbols function, you need to run<br>install.packages(&quot;quantmod&quot;)<br>library(quantmod)",2019-11-27T22:19:29Z
Ugy2DuMWWJE_hZihvLh4AaABAg,@lapro3444,,1,lxsyJ2V5HEw,0,0,2020-03-30T06:51:43Z,🏁...<br><br><br><br><br><br><br><br>..💰,2020-03-30T06:51:43Z
Ugzyk26ASDkfTSTrta14AaABAg,@lapro3444,,1,VZAYbVC2d3g,1,0,2020-03-30T06:51:16Z,📈...<br><br><br><br><br><br>...🚩,2020-03-30T06:51:16Z
Ugzyk26ASDkfTSTrta14AaABAg.96onmgdAIk998D613e_pVE,@devotionconceptual9389,Ugzyk26ASDkfTSTrta14AaABAg,2,VZAYbVC2d3g,0,0,2020-05-03T23:11:48Z,.. .. . .    🏅,2020-05-03T23:11:48Z
UgxLk_jPp2j9m-hMTO14AaABAg,@MrBockra,,1,0rAVPUNf9yI,0,0,2021-06-23T03:49:43Z,6203,2021-06-23T03:49:43Z
UgzaWKCJnI6tLap89UZ4AaABAg,@lapro3444,,1,0rAVPUNf9yI,0,0,2020-03-30T06:49:08Z,...📚<br><br><br><br><br><br>🔣,2020-03-30T06:49:47Z
Ugwl8p4fqTIPhsCVD2J4AaABAg,@lapro3444,,1,Yje7Aa85x-w,0,1,2020-03-30T06:47:14Z,📉...<br><br><br><br><br><br><br><br><br>⚓,2020-03-30T06:47:14Z
UgyAPucy-w4CLeill9p4AaABAg,@lapro3444,,1,_Zga959lVcs,1,0,2020-03-30T06:42:11Z,....👩‍🔬<br><br><br><br><br><br><br><br><br>🙊🙉🙈,2020-03-30T06:42:11Z
UgyAPucy-w4CLeill9p4AaABAg.96omk7CfL2a98D5x_dCePx,@devotionconceptual9389,UgyAPucy-w4CLeill9p4AaABAg,2,_Zga959lVcs,0,0,2020-05-03T23:11:11Z,.. .. ... .🏅.    .,2020-05-03T23:11:11Z
